fx_rate_date,usd_jpy
2026-07-01 00:00:00+00:00,162.71
2026-07-02 00:00:00+00:00,161.58
2026-07-03 00:00:00+00:00,161.15
2026-07-06 00:00:00+00:00,162.34
2026-07-07 00:00:00+00:00,161.89
2026-07-08 00:00:00+00:00,162.49
2026-07-09 00:00:00+00:00,162.41
2026-07-10 00:00:00+00:00,161.87
2026-07-13 00:00:00+00:00,162.14
2026-07-14 00:00:00+00:00,162.22
2026-07-15 00:00:00+00:00,162.39
2026-07-16 00:00:00+00:00,162.2
2026-07-17 00:00:00+00:00,162.35
2026-07-20 00:00:00+00:00,162.38
2026-07-21 00:00:00+00:00,162.74
2026-07-22 00:00:00+00:00,163.07
2026-07-23 00:00:00+00:00,163.47
2026-07-24 00:00:00+00:00,163.82
2026-07-27 00:00:00+00:00,163.64
2026-07-28 00:00:00+00:00,163.91
2026-07-29 00:00:00+00:00,163.68
2026-07-30 00:00:00+00:00,162.94
2026-07-31 00:00:00+00:00,160.24
2026-08-03 00:00:00+00:00,156.68
2026-08-04 00:00:00+00:00,157.41
2026-08-05 00:00:00+00:00,157.59
2026-08-06 00:00:00+00:00,157.83
2026-08-07 00:00:00+00:00,158.34
2026-08-10 00:00:00+00:00,158.64
2026-08-11 00:00:00+00:00,159.2
2026-08-12 00:00:00+00:00,159.09
2026-08-13 00:00:00+00:00,159.33
2026-08-14 00:00:00+00:00,159.01
2026-08-17 00:00:00+00:00,159.23
2026-08-18 00:00:00+00:00,159.7
2026-08-19 00:00:00+00:00,159.09
2026-08-20 00:00:00+00:00,158.76
2026-08-21 00:00:00+00:00,158.7
2026-08-24 00:00:00+00:00,159.12
2026-08-25 00:00:00+00:00,159.24
2026-08-26 00:00:00+00:00,159.07
2026-08-27 00:00:00+00:00,159.39
2026-08-28 00:00:00+00:00,159.68
2026-08-31 00:00:00+00:00,159.73
2026-09-01 00:00:00+00:00,160.16
2026-09-02 00:00:00+00:00,159.6
2026-09-03 00:00:00+00:00,156.01
2026-09-04 00:00:00+00:00,156.25
2026-09-07 00:00:00+00:00,154.75
2026-09-08 00:00:00+00:00,154.3
2026-09-09 00:00:00+00:00,153.27
2026-09-10 00:00:00+00:00,154.18
2026-09-11 00:00:00+00:00,154.04
2026-09-14 00:00:00+00:00,154.55
2026-09-15 00:00:00+00:00,155.0
2026-09-16 00:00:00+00:00,155.05
2026-09-17 00:00:00+00:00,155.69
2026-09-18 00:00:00+00:00,157.89
2026-09-21 00:00:00+00:00,157.27
2026-09-22 00:00:00+00:00,157.18
